No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
INS000290,"Mancomunidad de SS BB de Ansoain, Berriozar,","MANCOMUNIDAD DE SS BB DE ANSOAIN, BERRIOZAR,",Actividades de servicios sociales sin alojamiento para  personas mayores,8811,1,1,0,,
EMP003434,"Mapfre Seguros Generales, S.A.","MAPFRE SEGUROS GENERALES, S.A.",Seguros de vida,6511,,0,0,1,
EMP000913,"Mapsa, S.Coop.","MAPSA, S.COOP.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,6,3,3,,28446.40
EMP004737,"Máster Navarra Automatismos, S.L.","MÁSTER NAVARRA AUTOMATISMOS, S.L.",Otras actividades de construcción especializada n.c.o.p.,4399,1,0,1,1,2691.49
EMP001738,"Matadero de Pamplona, S.A.","MATADERO DE PAMPLONA, S.A.",Comercio al por mayor de carne y productos cárnicos,4632,,0,0,1,278.30
EMP000822,"Matadero La Protectora, S.A.","MATADERO LA PROTECTORA, S.A.",Procesado y conservación de carne,1011,6,0,6,,26123.84
EMP000935,"Mecanizaciones Aeronáuticas, S.A.","MECANIZACIONES AERONÁUTICAS, S.A.",Construcción aeronáutica y espacial y su maquinaria,3030,1,1,0,,393.25
EMP000940,"Mecanizados Industria Auxiliar, S.A.",MIASA,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,,0,0,2,1203.95
EMP000953,"Mercedes Benz España, S.A.U.","MERCEDES BENZ ESPAÑA, S.A.U.",Fabricación de vehículos de motor,2910,1,0,1,,3213.85
EMP004825,"Messuprel, S.L.","MESSUPREL, S.L.",Otras actividades de limpieza industrial y de edificios,8122,1,0,1,,5387.97
EMP000955,"Metalúrgicas Pabur, S.L.","METALÚRGICAS PABUR, S.L.",Fabricación de otros productos metálicos n.c.o.p.,2599,1,0,1,,1784.21
EMP000957,"Metronics Technologies, S.L.","METRONICS TECHNOLOGIES, S.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,2,2,0,,2936.50
EMP004902,"MGS Seguros y Reaseguros, S.A.","MGS SEGUROS Y REASEGUROS, S.A.",Seguros distintos de los seguros de vida,6512,,0,0,1,278.30
EMP004237,"Michelín España-Portugal, S.A.","MICHELÍN ESPAÑA-PORTUGAL, S.A.",Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos,2211,1,0,1,,785.29
INS000166,Ministerio de Asuntos Exteriores y de Cooperación,MAEC,Actividades generales de la Administración Pública,8411,10,1,9,,
EMP002345,"MM Consulting Financiero, S.L.","MM CONSULTING FINANCIERO, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,393.25
EMP004881,"Moldes Pamplona, S.L.","MOLDES PAMPLONA, S.L.",Fabricación de carpintería metálica,2512,,0,0,1,
EMP004693,"Mondelez España Galletas Production, S.L.U.",MDLZ ESPAÑA GALLETAS SLU,Fabricación de galletas y productos de panadería y pastelería de larga duración,1072,1,0,1,,8403.57
EMP004675,"Montejurra Gestión, S.L.","MONTEJURRA GESTIÓN, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,1,0,,393.25
EMP003713,"Mundomovil Arfila, S.L.","MUNDOMOVIL ARFILA, S.L.",Otras actividades de consultoría de gestión empresarial,7022,1,0,1,,1264.21
EMP004684,Muñoz Segura Ana Mª y del Portillo Ros Maite,ADAPTA E INTEGRA,Otros servicios personales n.c.o.p.,9609,2,1,1,,7363.31
EMP000995,Mutua Navarra,MUTUA NAVARRA,Seguros distintos de los seguros de vida,6512,2,1,1,1,910.37
EMP004701,"My News, S.L.","MY NEWS, S.L.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,1,0,1,,11174.91
EMP004571,"Nadetech Innovations, S.L.","NADETECH INNOVATIONS, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,1,0,,1683.25
EMP004608,Nano Automotive S.L.,NANO AUTOMOTIVE S.L.,"Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión",2815,3,0,3,,19998.49
EMP004838,"Nanotures, S.L.","NANOTURES, S.L.",Otra investigación y desarrollo experimental en ciencias naturales y técnicas,7219,1,0,1,,393.25
EMP003963,Naturin Viscofan GmbH,NATURIN VISCOFAN GMBH,Fabricación de envases y embalajes de plástico,2222,2,0,2,,
EMP004045,Naudit High Performance Computing and,NAUDIT HIGH PERFORMANCE COMPUTING AND,Actividades de programación informática,163,3,0,3,,2745.65
EMP004698,"Navaplastic, S.L.","NAVAPLASTIC, S.L.",Fabricación de otros productos de plástico,2229,1,0,1,1,1472.51
EMP003654,"Navarra de Suelo y Vivienda, S.A.",NASUVINSA,Promoción inmobiliaria,4110,,0,0,1,278.30
EMP002115,"Navarra de Técnicas de Soldadura y Fijación, S.L.",TSF,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",2410,1,1,0,,3833.25
EMP004114,"Navarra de Tratamiento del Agua, S.L.","NAVARRA DE TRATAMIENTO DEL AGUA, S.L.",Fabricación de otra maquinaria de uso general n.c.o.p.,2829,1,0,1,,4152.73
EMP004623,New Conta Navarra S.L.,NEW CONTA NAVARRA S.L.,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,2,0,2,,1302.46
EMP001814,"New Digital Diesel Technology, S.L.",NTDD,Fabricación de componentes electrónicos,2611,1,1,0,,2113.25
EMP004200,"Nubapp Aplications, S.L.","NUBAPP APLICATIONS, S.L.",Edición de otros programas informáticos,5829,2,1,1,,11159.33
EMP002247,"Obras y Servicios Tex, S.L.","OBRAS Y SERVICIOS TEX, S.L.",Preparación de terrenos,4312,2,1,1,,1427.46
EMP001806,"Ochoa Lacar Hermanos, S.L.","OCHOA LACAR HERMANOS, S.L.","Fontanería, instalaciones de sistemas de calefacción y aire acondicionado",4322,1,0,1,,393.25
EMP004477,"Oniria Consulting, S.L.","ONIRIA CONSULTING, S.L.",Otras actividades de consultoría de gestión empresarial,7022,,0,0,1,787.50
EMP000718,"Openbravo, S.L.",TECNICIA,Actividades de consultoría informática,6202,11,3,8,1,63190.03
EMP004883,"Operador Neutro Navarro, S.L.","OPERADOR NEUTRO NAVARRO, S.L.",Fabricación de cables de fibra óptica,2731,,0,0,1,278.30
EMP003162,"Orbital Sistemas Aeroespaciales, S.L.","ORBITAL SISTEMAS AEROESPACIALES, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,5,3,2,,9964.23
EMP001071,"Orhy Asesores, S.L.","ORHY ASESORES, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,1178.97
EMP004855,"Ormazabal Protection & Automation, S.L.U.","ORMAZABAL PROTECTION & AUTOMATION, S.L.U.","Fabricación de instrumentos y aparatos de medida, verificación y navegación",2651,1,0,1,,785.29
EMP001072,"Orona, S. Coop.","ORONA, S. COOP.",Fabricación de maquinaria de elevación y manipulación,2822,1,0,1,,1365.64
EMP004210,"Osesansa, S.L.",EL OBRADOR,Fabricación de pan y de productos frescos de panadería y pastelería,1071,1,0,1,,11409.97
EMP004705,"Otazu-Vega Abogados, S.L.P.","OTAZU-VEGA ABOGADOS, S.L.P.",Actividades jurídicas,6910,1,0,1,,8859.97
EMP004440,"Pamplona Car, S.L.","PAMPLONA CAR, S.L.",Venta de automóviles y vehículos de motor ligeros,4511,2,1,1,,786.50
EMP004003,"Pamplopan, S.I.","PAMPLOPAN, S.I.","Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados",4724,1,0,1,1,393.25
EMP001086,"Pauma, S.L.","PAUMA, S.L.",Actividades auxiliares a la educación,8560,1,1,0,,
EMP004892,"Pernod Ricard España, S.A.","PERNOD RICARD ESPAÑA, S.A.",Comercio al por mayor de bebidas,4634,1,0,1,,2026.58
EMP001001,"Piher Sensors & Controls, S.A.",ANTIGUA NACESA - PIHER,Fabricación de componentes electrónicos,2611,7,0,7,,32164.67
EMP002754,"Plastic Omnium Automotive España, S.A.","PLASTIC OMNIUM AUTOMOTIVE ESPAÑA, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,3,0,3,,18867.15
EMP003897,"Plásticos Brello, S.A.","PLÁSTICOS BRELLO, S.A.",Fabricación de otros productos de plástico,2229,3,1,2,,14876.39
EMP004833,"Plásticos Xima, S.L.","PLÁSTICOS XIMA, S.L.",Fabricación de otros productos de plástico,2229,,0,0,2,556.60
EMP004694,"Poliester Mam, S.L.","POLIESTER MAM, S.L.",Fabricación de otros productos de plástico,2229,2,0,2,,13676.83
EMP004173,"Polygon Education, S.L.","POLYGON EDUCATION, S.L.",Edición de libros,5811,5,4,1,,2521.76
EMP001512,"Prefabricados y Montajes, S.L.",PREMOSA,Fabricación de carpintería metálica,2512,1,1,0,,2543.25
EMP003208,"Prevenna, S.L.",ANTIGUA PREVENCIÓN NAVARRA,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,1,0,1,,10094.86
EMP003909,"Producciones Vegetales Diferenciadas, S.L.",PROVEDIS,Comercio al por mayor de flores y plantas,4622,1,0,1,,678.49
EMP003342,"Productos Kol, S.L.","PRODUCTOS KOL, S.L.",Otras industrias manufactureras n.c.o.p.,3299,3,1,2,,1243.78
EMP004930,"Protectora de Carnes, S.L.",PROTECA,Procesado y conservación de carne,1011,2,0,2,,3806.42
EMP004784,Proyecto La Casita Munay Wayra SAC,PROYECTO LA CASITA MUNAY WAYRA SAC,Otra educación n.c.o.p.,8559,1,0,1,,
EMP003098,"Proyecto Luz, S.A.","PROYECTO LUZ, S.A.",Comercio al por mayor de aparatos electrodomésticos,4643,1,0,1,,10784.17
EMP004849,"Proyectos y Construcciones Pirineo, S.L.","PROYECTOS Y CONSTRUCCIONES PIRINEO, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,1,0,1,,1397.06
EMP003888,Proyectos y Servicios de Ingeniería y Arquitectura,PROYECTOS Y SERVICIOS DE INGENIERÍA Y ARQUITECTURA,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,1,1,,4765.57
EMP004528,"Pyramide Asesores, S.L.","PYRAMIDE ASESORES, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,3,2,1,,786.50
EMP003475,"Quomai Technologies, S.L.","QUOMAI TECHNOLOGIES, S.L.",Actividades de programación informática,163,1,0,1,,4917.24
EMP002710,"Ramondin Cápsulas, S.A.","RAMONDIN CÁPSULAS, S.A.",Fabricación de envases y embalajes metálicos ligeros,2592,1,1,0,,2113.25
EMP001158,"Randstad Empleo ETT, S.A.U.","RANDSTAD EMPLEO ETT, S.A.U.",Actividades de las empresas de trabajo temporal,7820,6,4,2,,8680.55
EMP004697,"Randstad Project Services, S.L.U.","RANDSTAD PROJECT SERVICES, S.L.U.",Otras actividades de apoyo a las empresas n.c.o.p.,8299,2,0,2,,5827.11
EMP004763,"Recarte Talleres, S.I.","RECARTE TALLERES, S.I.",Fabricación de carpintería metálica,2512,1,0,1,,11299.41
EMP001163,"Reciclauto Navarra, S.L.","RECICLAUTO NAVARRA, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,3,2,1,,1299.75
EMP004678,"Residencia Beloso Alto, S.L.",IMQ,Actividades de medicina especializada,8622,1,1,0,,
EMP001820,"Rey-Mendez, S.L.","REY-MENDEZ, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,2,0,2,,17798.82
EMP004781,"Reyvena-Serviteco, S.L.","REYVENA-SERVITECO, S.L.",Mantenimiento y reparación de vehículos de motor,4520,2,0,2,,4901.42
EMP003760,"Rios Renovables, S.L.","RIOS RENOVABLES, S.L.",Fabricación de pilas y acumuladores eléctricos,2720,1,0,1,,785.29
EMP003394,Roca Pool-Spa Sp. Z.o.o.,ROCA POOL-SPA SP. Z.O.O.,Fabricación de aparatos sanitarios cerámicos,2342,3,1,2,,
EMP001194,"Rofin Baasel España, S.L.U.","ROFIN BAASEL ESPAÑA, S.L.U.",Fabricación de otro material y equipo eléctrico,2790,2,0,2,,15798.61
EMP002760,"Rotativas de Estella, S.L.",RODESA,Otras actividades de impresión y artes gráficas,1812,1,0,1,,10877.36
EMP004848,"RPC Superfos Pamplona, S.A.","RPC SUPERFOS PAMPLONA, S.A.",Fabricación de envases y embalajes de plástico,2222,1,1,0,,
EMP004276,"Rypples Media, S.L.","RYPPLES MEDIA, S.L.",Otras actividades de consultoría de gestión empresarial,7022,1,0,1,,11299.41
EMP001589,S.A. de Preformados Metálicos,SAPREM,"Fabricación de productos de alambre, cadenas y muelles",2593,2,2,0,,9386.50
EMP002889,"Sagamovil, S.A.","SAGAMOVIL, S.A.",Venta de automóviles y vehículos de motor ligeros,4511,1,0,1,,1264.21
EMP001214,"Saint Gobain Abrasivos, S.A.","SAINT GOBAIN ABRASIVOS, S.A.",Fabricación de otros productos minerales no metálicos n.c.o.p.,2399,3,0,3,1,12490.54
EMP004011,"Saint Gobain Adfors España, S.A.U.","SAINT GOBAIN ADFORS ESPAÑA, S.A.U.",Fabricación de otros productos textiles de uso técnico e industrial,1396,1,0,1,,9199.41
EMP002384,"Saltoki, S.A.","SALTOKI, S.A.",Comercio al por mayor de otra maquinaria y equipo,4666,2,0,2,,9012.82
EMP003125,"Sánchez & Bergasa Asesores, S.L.","SÁNCHEZ & BERGASA ASESORES, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,873.97
EMP000054,"Sapa Extrusion Navarra, S.L.",ALCOA EXTRUSION,Fabricación de otros productos metálicos n.c.o.p.,2599,2,0,2,,12433.62
EMP004454,"SAR Residencial y Asistencial, S.A.U.","SAR RESIDENCIAL Y ASISTENCIAL, S.A.U.",Otras actividades de asistencia en establecimientos residenciales,8790,4,4,0,,
EMP001225,"SAS Autosystemtechnik, S.A.","SAS AUTOSYSTEMTECHNIK, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,4,0,4,,30365.20
EMP004644,"SCA Hygiene Spain, S.L.","SCA HYGIENE SPAIN, S.L.",Fabricación de papel y cartón,1712,11,3,8,2,67666.01
EMP002333,"Schindler, S.A.","SCHINDLER, S.A.",Fabricación de maquinaria de elevación y manipulación,2822,1,0,1,,4331.97
EMP001231,"Schmidt-Clemens Spain, S.A.",CENTRACERO,"Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero",2420,1,1,0,,2543.25
EMP001232,"Schneider Electric España, S.A.","SCHNEIDER ELECTRIC ESPAÑA, S.A.",Fabricación de aparatos de distribución y control eléctrico,2712,9,0,9,,64720.85
EMP002816,"Schnellecke Logistics España, S.A.",KWD,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,4,0,4,,33230.11
INS000283,Secretaría General de Instituciones Penitenciarias,SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,Orden público y seguridad,8424,2,2,0,,
EMP000013,"Segula Tecnologías España, S.A.U.","SEGULA TECNOLOGÍAS ESPAÑA, S.A.U.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,0,2,,3285.64
EMP001243,"Seguridad Industrial, S.A.",SEINSA,Fabricación de otros productos de caucho,2219,1,0,1,,12377.36
EMP001247,"Sein Tic, S.L.","SEIN TIC, S.L.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,2,1,1,,1847.46
EMP002605,"Seresgerna, S.A.","SERESGERNA, S.A.",Actividades de servicios sociales sin alojamiento para  personas mayores,8811,5,1,4,,7799.74
EMP001940,"Serval, S.L.","SERVAL, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,8899.41
EMP004735,Servicio de Acción Preventiva Comunitaria Mendillo,BIDEBERRI,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,2,2,0,,
EMP000042,"Servicios de Montejurra, S.A.","SERVICIOS DE MONTEJURRA, S.A.","Captación, depuración y distribución de agua",3600,3,2,1,,15355.91
EMP001286,"Sigma Brakes, S.A.","SIGMA BRAKES, S.A.",Fabricación de equipos de transmisión hidráulica y neumática,2812,2,0,2,,8099.46
EMP002298,"Sinase Alfonso, S.A.","SINASE ALFONSO, S.A.",Comercio al por mayor de metales y minerales metálicos,4672,1,1,0,,393.25
EMP002324,"SIP-TEC, Soluciones Integrales, S.L.","SIP-TEC, SOLUCIONES INTEGRALES, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,,0,0,1,
EMP001293,"Sistelec Soluciones de Telecomunicación, S.L.","SISTELEC SOLUCIONES DE TELECOMUNICACIÓN, S.L.",Otras actividades de telecomunicaciones,6190,2,0,2,,1854.21
EMP001297,"SKF Española, S.A.","SKF ESPAÑOLA, S.A.","Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión",2815,12,0,12,,92989.71
EMP001083,"Smurfit Kappa Navarra, S.A.",SK NAVARRA SA,Fabricación de papel y cartón ondulados; fabricación Innovaacde envases y embalajes de papel y cartón,1721,7,1,6,1,31312.33
EMP002504,Sociedad Cooperativa Agraria Orvalaiz,ORVALAIZ,Elaboración de vinos,1102,1,1,0,,1693.25
EMP001303,"Sociedad Ibérica de Construcciones Eléctricas,",SICE,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,0,2,,4099.33
EMP002685,"Sofidel Spain, S.L.",IBERTISSUE,Fabricación de papel y cartón,1712,1,0,1,,513.25
EMP004646,Solera Asistencial S.L.U.,SOLERA ASISTENCIAL S.L.U.,"Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia",8720,1,0,1,,3446.71
EMP004865,"Solera Navarra, S.L.U.","SOLERA NAVARRA, S.L.U.","Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia",8720,1,0,1,,6553.41
EMP002335,"Solinvest Fotovoltaica, S.L.","SOLINVEST FOTOVOLTAICA, S.L.",Producción de energía eléctrica de otros tipos,3519,1,0,1,,10466.08
INS000179,St. Mary's College Preparatory School,ST. MARY'S COLLEGE PREPARATORY SCHOOL,Educación secundaria general,8531,2,2,0,,
EMP004687,"Storopack España, S.L.U.","STOROPACK ESPAÑA, S.L.U.",Fabricación de envases y embalajes de plástico,2222,2,0,2,,10775.94
EMP001326,"Sumelec Navarra, S.L.","SUMELEC NAVARRA, S.L.",Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes,4652,2,1,1,,15682.05
EMP001330,Suministros y Servicios Unificados de,SUNSUNDEGUI,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,2920,1,0,1,,3370.16
EMP004259,"Talleres Goldebi, S.L.","TALLERES GOLDEBI, S.L.",Ingeniería mecánica por cuenta de terceros,2562,1,1,0,,393.25
EMP003361,"Talleres Mutilva Automoción, S.L.","TALLERES MUTILVA AUTOMOCIÓN, S.L.",Mantenimiento y reparación de vehículos de motor,4520,6,0,6,,23114.68
EMP001773,"Tasubinsa, S.A.","TASUBINSA, S.A.",Actividades de servicios sociales sin alojamiento para  personas con discapacidad,8812,5,4,1,,15449.81
EMP001369,"Tecnoconfort, S.A.","TECNOCONFORT, S.A.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,7,2,5,,33506.84
EMP002613,"Tecnología y Calidad Lactea, S.L.","TECNOLOGÍA Y CALIDAD LACTEA, S.L.",Ensayos y análisis técnicos,7120,1,0,1,,4068.42
EMP004841,"Tenías, S.A.","TENÍAS, S.A.",Fabricación de otras máquinas herramienta,2849,2,0,2,,8144.27
EMP001777,"Tesicnor, S.L.U.","TESICNOR, S.L.U.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,0,2,,513.25
EMP003582,"Tetra Consulting & Engineering, S.L.","TETRA CONSULTING & ENGINEERING, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,6,1,5,,21340.89
EMP001396,"TI Automotive Pamplona, S.L.","TI AUTOMOTIVE PAMPLONA, S.L.",Fabricación de otros productos de plástico,2229,2,0,2,,17293.32
EMP004713,"Tierra Limpiezas Ecológicas, S.L.","TIERRA LIMPIEZAS ECOLÓGICAS, S.L.",Otras actividades de limpieza,8129,1,1,0,,393.25
EMP002657,"Tiruña, S.L.","TIRUÑA, S.L.",Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,,0,0,1,
EMP001406,"Trabajos Catastrales, S.A.",TRACASA,Otros servicios de información n.c.o.p.,6399,1,0,1,,4787.97
EMP004792,"Tracasa Instrumental, S.L.","TRACASA INSTRUMENTAL, S.L.",Actividades de programación informática,163,4,1,3,,22518.06
EMP001767,"Transformados Mayo, S.L.","TRANSFORMADOS MAYO, S.L.","Forja, estampación y embutición de metales; metalurgia de polvos",2550,1,0,1,,12677.36
EMP003679,"Transformados Ruiz, S.L.U.","TRANSFORMADOS RUIZ, S.L.U.",Fabricación de estructuras metálicas y sus componentes,2511,1,0,1,,393.25
EMP001646,"Transportes Azpíroz, S.L.","TRANSPORTES AZPÍROZ, S.L.",Transporte de mercancías por carretera,4941,1,0,1,,4517.49
EMP001025,"Trelleborg Automotive Cascante, S.A.U","TRELLEBORG AUTOMOTIVE CASCANTE, S.A.U","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,1,0,1,,4530.63
EMP004801,"Tremad Sharing, S.L.","TREMAD SHARING, S.L.",Portales web,6312,2,1,1,,786.50
EMP002845,"Trenes de Navarra, S.A.",TRENASA,Fabricación de otra maquinaria para usos específicos n.c.o.p.,2899,2,0,2,,23484.24
EMP004714,"Tres60 Transformación Digital, S.L.","TRES60 TRANSFORMACIÓN DIGITAL, S.L.",Actividades de consultoría informática,6202,1,1,0,,1619.92
EMP004479,Trevithick Learning Academy,TREVITHICK LEARNING ACADEMY,Educación primaria,8520,2,2,0,,
EMP003830,"Tristone Flowtech Spain, S.A.U.","TRISTONE FLOWTECH SPAIN, S.A.U.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,1,0,1,,2651.01
EMP002552,Ul International GmbH,UL INTERNATIONAL GMBH,Ensayos y análisis técnicos,7120,3,0,3,,21690.01
EMP001439,"Ultracongelados Virto, S.A.","ULTRACONGELADOS VIRTO, S.A.",Otro procesado y conservación de frutas y hortalizas,1039,,0,0,1,278.30
EMP002062,"Unión de Fabricantes de Conservas, S.A.",UNFASA,Elaboración de zumos de frutas y hortalizas,1032,1,1,0,,393.25
EMP004775,"Unión de Montadores Eléctricos de Navarra, S.L.","UNIÓN DE MONTADORES ELÉCTRICOS DE NAVARRA, S.L.",Instalaciones eléctricas,4321,,0,0,1,278.30
EMP004783,Universidad Antonio Nariño - UAN,UNIVERSIDAD ANTONIO NARIÑO - UAN,Educación universitaria,8543,1,0,1,,
EMP003111,"Unnefar, S. Coop.","UNNEFAR, S. COOP.",Comercio al por mayor de productos farmacéuticos,4646,1,0,1,,4152.73
EMP003490,"UP International Education, S.L.","UP INTERNATIONAL EDUCATION, S.L.","Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,31,0,31,,127272.98
EMP001458,"Urtasun Tecnología Alimentaria, S.L.","URTASUN TECNOLOGÍA ALIMENTARIA, S.L.","Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco",2893,5,1,4,,9731.54
EMP001460,Urzainqui Correduría de Seguros,URZAINQUI CORREDURÍA DE SEGUROS,Actividades de agentes y corredores de seguros,6622,1,0,1,,2080.34
EMP001462,"UVE, S.A.",UVESA,Procesado y conservación de volatería,1012,1,1,0,,
EMP001932,"Vacío y Termoquímica de Navarra, S.L.","VACÍO Y TERMOQUÍMICA DE NAVARRA, S.L.","Fabricación de productos básicos de hierro, acero y ferroaleaciones",2410,1,0,1,,1554.21
EMP000944,"Valco Melton, S.L.U.","VALCO MELTON, S.L.U.",Fabricación de otra maquinaria de uso general n.c.o.p.,2829,11,3,8,,42847.31
EMP004708,Valeo Sensors and Switches GmbH,VALEO SENSORS AND SWITCHES GMBH,Fabricación de aparatos domésticos no eléctricos,2752,1,1,0,,
EMP004105,"Validate Network, S.L.","VALIDATE NETWORK, S.L.",Intermediarios del comercio de productos diversos,4619,8,1,7,,44445.90
EMP001471,"Vega Mayor, S.L.","VEGA MAYOR, S.L.",Otro procesado y conservación de frutas y hortalizas,1039,3,2,1,4,3587.02
EMP003043,"Vegetales Línea Verde Navarra, S.A.","VEGETALES LÍNEA VERDE NAVARRA, S.A.",Comercio al por mayor de frutas y hortalizas,4631,3,1,2,,5842.49
EMP003735,"Vicastelar Servicios, S.L.",HOTEL VILLA DE CASTEJON,Hoteles y alojamientos similares,5510,1,1,0,,1468.25
UPN000100,"Vicerrectorado de Estudiantes, Empleo","VICERRECTORADO DE ESTUDIANTES, EMPLEO",Educación universitaria,8543,3,2,1,,
EMP004853,"Vicuña Design, S.L.U.","VICUÑA DESIGN, S.L.U.",Actividades de diseño especializado,7410,1,0,1,,393.25
EMP002640,"Videcart, S.A.","VIDECART, S.A.",Fabricación de papel y cartón ondulados; fabricación Innovaacde envases y embalajes de papel y cartón,1721,1,0,1,,5231.97
EMP001483,"Viscofán, S.A.","VISCOFÁN, S.A.",Elaboración de otros productos alimenticios n.c.o.p.,1089,20,8,12,,65870.44
EMP003749,"Viveros y Jardinería Valle del Arga, S.L.","VIVEROS Y JARDINERÍA VALLE DEL ARGA, S.L.",Actividades de jardinería,8130,1,0,1,,12455.23
EMP001491,"Volkswagen Navarra, S.A.","VW VOLKSWAGEN NAVARRA, S.A.",Fabricación de vehículos de motor,2910,74,30,44,,233090.63
EMP004827,Wallwork Cambridge Ltd.,WALLWORK CAMBRIDGE LTD.,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,2,0,2,,
EMP000128,"Zabala Innovation Consulting, S.A.",ZABALA,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",7490,7,3,4,,22342.63
EMP004799,ZCR Ecoman Iruña S.L.,ZCR ECOMAN IRUÑA S.L.,Construcción de edificios residenciales,4121,1,0,1,,10899.41
EMP004879,"Zoahorro, S.L.U.","ZOAHORRO, S.L.U.",Producción de energía eléctrica de otros tipos,3519,1,1,0,,1143.25
EMP004818,"Zorrotz Legazpi, S.L.L.","ZORROTZ LEGAZPI, S.L.L.",Fabricación de herramientas eléctricas manuales,2824,1,0,1,,393.25
EMP003486,"Zubieta Asesores, S.L.","ZUBIETA ASESORES, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,1,0,,393.25
